reference_timestamp,ths200m0,th9120mv,rhs150m0,rh9120mv,shs000m0,sh9120mv
01.05.1945 00:00,15.3,0.0,60.6,117,16976.0,123.0
01.06.1945 00:00,19.1,0.1,23.0,48,18217.0,119.0
01.07.1945 00:00,20.3,-0.3,33.1,53,18652.0,115.0
01.08.1945 00:00,17.5,-2.4,60.1,101,12999.0,87.0
01.09.1945 00:00,15.0,-0.7,53.3,142,12861.0,103.0
01.10.1945 00:00,9.2,-1.5,46.8,109,10939.0,114.0
01.11.1945 00:00,2.2,-2.8,7.6,15,6455.0,113.0
01.12.1945 00:00,-0.3,-1.2,71.0,105,2798.0,68.0
01.01.1946 00:00,-2.0,-2.5,41.5,80,4858.0,87.0
01.02.1946 00:00,2.9,0.6,82.6,204,4982.0,63.0
01.03.1946 00:00,6.3,-0.9,16.6,45,10349.0,92.0
01.04.1946 00:00,12.4,1.1,4.7,14,13213.0,105.0
01.05.1946 00:00,14.7,-0.6,57.4,110,11295.0,82.0
01.06.1946 00:00,15.6,-3.4,120.3,250,12767.0,84.0
01.07.1946 00:00,19.3,-1.3,55.2,89,17161.0,105.0
01.08.1946 00:00,17.3,-2.6,73.4,123,14696.0,98.0
01.09.1946 00:00,14.4,-1.3,37.3,99,12849.0,103.0
01.10.1946 00:00,8.5,-2.2,17.0,40,9831.0,103.0
