year-month,total precipitation (mm),mean temperature (°C)
1986-02,34.6,-2.7
1986-03,76.9,4.0
1986-04,154.2,6.9
1986-05,97.6,14.5
1986-06,149.1,15.8
1986-07,148.9,17.5
1986-08,122.1,17.4
1986-09,45.1,14.3
1986-10,73.2,10.8
1986-11,55.7,5.5
1986-12,100.5,1.0
1987-01,106.0,-2.9
1987-02,87.2,1.2
1987-03,69.9,1.8
1987-04,98.7,9.3
1987-05,156.2,9.8
1987-06,185.9,14.2
1987-07,186.1,17.9
1987-08,172.7,16.7
1987-09,76.5,16.4
1987-10,37.4,11.8
1987-11,69.3,5.5
1987-12,53.5,2.5
1988-01,56.0,5.0
1988-02,73.1,2.5
1988-03,211.6,3.3
1988-04,52.1,9.4
1988-05,73.8,14.9
1988-06,84.7,15.6
1988-07,157.1,18.2
1988-08,90.1,17.8
1988-09,64.5,14.4
1988-10,127.4,11.4
1988-11,61.2,2.7
1988-12,149.7,2.2
1989-01,8.5,0.2
1989-02,57.7,2.8
1989-03,58.9,7.9
1989-04,149.2,8.3
1989-05,57.8,14.0
1989-06,69.8,15.1
1989-07,156.9,18.4
1989-08,156.5,17.2
1989-09,109.8,13.8
1989-10,86.5,10.0
1989-11,43.3,3.5
1989-12,31.8,2.8
1990-01,11.2,0.3
1990-02,147.5,6.2
1990-03,49.6,6.7
1990-04,71.6,7.4
1990-05,95.3,14.4
1990-06,138.3,15.1
1990-07,128.1,17.9
1990-08,67.3,18.4
1990-09,82.5,13.5
1990-10,93.7,12.4
1990-11,183.5,4.6
1990-12,81.1,-0.4
1991-01,47.2,1.6
1991-02,25.8,-0.2
1991-03,71.2,7.9
1991-04,108.6,7.5
1991-05,121.8,9.8
1991-06,176.1,14.8
1991-07,160.2,19.6
1991-08,31.6,19.2
1991-09,154.3,16.7
1991-10,40.7,8.7
1991-11,33.6,4.5
1991-12,190.0,-0.3
1992-01,12.6,-0.6
1992-02,97.1,1.3
1992-03,164.5,5.9
1992-04,90.0,8.1
1992-05,34.4,15.0
1992-06,84.4,15.8
1992-07,119.6,18.7
1992-08,166.5,20.3
1992-09,87.9,14.9
1992-10,83.5,8.7
1992-11,180.1,6.0
1992-12,59.7,2.0
1993-01,58.7,2.7
1993-02,29.2,-0.5
1993-03,35.2,4.3
1993-04,112.8,10.8
1993-05,75.6,15.2
1993-06,159.5,16.7
1993-07,179.9,16.7
1993-08,125.6,17.8
1993-09,165.1,13.7
1993-10,174.3,9.5
1993-11,32.7,2.7
1993-12,104.3,3.5
1994-01,134.8,3.2
1994-02,35.5,3.8
1994-03,64.7,9.0
1994-04,93.6,7.5
1994-05,171.3,13.6
1994-06,125.5,16.9
1994-07,110.8,20.7
1994-08,169.9,19.3
1994-09,122.0,14.7
1994-10,35.3,9.9
1994-11,50.0,8.1
1994-12,114.4,2.8
1995-01,161.9,0.7
1995-02,96.8,4.8
1995-03,107.4,3.6
1995-04,145.0,9.0
1995-05,114.1,13.1
1995-06,122.1,14.4
1995-07,130.0,20.3
1995-08,209.3,17.2
1995-09,113.3,12.4
1995-10,1.4,12.0
1995-11,81.2,5.3
1995-12,152.4,1.6
1996-01,3.7,2.6
1996-02,44.2,1.0
1996-03,61.9,3.8
1996-04,33.4,9.6
1996-05,187.2,12.7
1996-06,86.1,17.2
1996-07,199.1,17.2
1996-08,166.7,16.8
1996-09,43.1,11.6
1996-10,113.4,10.1
1996-11,153.0,5.5
1996-12,36.5,1.6
1997-01,8.5,0.0
1997-02,84.0,4.0
1997-03,58.1,6.9
1997-04,107.9,7.7
1997-05,59.7,13.9
1997-06,188.3,15.7
1997-07,239.8,16.5
1997-08,106.7,19.0
1997-09,40.6,15.4
1997-10,73.9,9.6
1997-11,43.2,5.7
1997-12,126.1,3.8
1998-01,47.0,2.4
1998-02,19.9,3.3
1998-03,62.9,5.5
1998-04,90.7,9.1
1998-05,32.0,15.0
1998-06,178.0,17.6
1998-07,111.4,18.6
1998-08,116.7,18.5
1998-09,168.9,14.1
1998-10,118.2,10.0
1998-11,79.3,2.4
1998-12,20.1,1.2
1999-01,84.2,2.3
1999-02,218.8,-0.4
1999-03,77.4,6.3
1999-04,109.1,8.6
1999-05,188.8,15.4
1999-06,167.3,15.4
1999-07,78.6,18.8
1999-08,161.3,18.0
1999-09,121.7,16.9
1999-10,38.7,11.0
1999-11,77.0,2.6
1999-12,106.7,1.7
2000-01,36.0,0.0
2000-02,75.9,4.1
2000-03,111.2,6.0
2000-04,53.1,10.9
2000-05,63.7,15.5
2000-06,75.4,18.5
2000-07,180.1,16.2
2000-08,145.6,19.2
2000-09,131.3,15.0
2000-10,92.3,10.7
2000-11,143.1,6.3
2000-12,15.4,4.8
2001-01,57.6,3.4
2001-02,96.0,4.0
2001-03,133.5,8.0
2001-04,163.8,7.2
2001-05,65.4,15.7
2001-06,222.7,15.3
2001-07,126.0,18.6
2001-08,107.8,19.1
2001-09,148.3,11.7
2001-10,42.6,12.9
2001-11,100.6,3.4
2001-12,72.9,-0.2
2002-01,22.9,0.2
2002-02,93.9,5.8
2002-03,79.5,7.9
2002-04,86.3,9.4
2002-05,317.6,13.6
2002-06,113.7,19.1
2002-07,157.7,18.2
2002-08,200.8,17.6
2002-09,171.4,13.3
2002-10,81.1,10.5
2002-11,342.7,7.3
2002-12,106.8,4.2
2003-01,94.5,0.6
